project;bugID;Barinel-hit;Barinel-naive-num_ef;Barinel-naive-ef;Barinel-naive-ef_ep;Barinel-naive-ef_ep_nf_np;Barinel-freq-num_ef;Barinel-freq-ef;Barinel-freq-ef_ep;Barinel-freq-ef_ep_nf_np;DStar-hit;DStar-naive-num_ef;DStar-naive-ef;DStar-naive-ef_ep;DStar-naive-ef_ep_nf_np;DStar-freq-num_ef;DStar-freq-ef;DStar-freq-ef_ep;DStar-freq-ef_ep_nf_np;GP13-hit;GP13-naive-ef;GP13-naive-ef_ep;GP13-naive-ef_ep_nf_np;GP13-freq-ef;GP13-freq-ef_ep;GP13-freq-ef_ep_nf_np;Jaccard-hit;Jaccard-naive-num_ef;Jaccard-naive-ef;Jaccard-naive-ef_ep;Jaccard-naive-ef_ep_nf_np;Jaccard-freq-num_ef;Jaccard-freq-ef;Jaccard-freq-ef_ep;Jaccard-freq-ef_ep_nf_np;Naish2-hit;Naish2-naive-ef;Naish2-naive-ef_ep;Naish2-naive-ef_ep_nf_np;Naish2-freq-ef;Naish2-freq-ef_ep;Naish2-freq-ef_ep_nf_np;Ochiai-hit;Ochiai-naive-num_ef;Ochiai-naive-ef;Ochiai-naive-ef_ep;Ochiai-naive-ef_ep_nf_np;Ochiai-freq-num_ef;Ochiai-freq-ef;Ochiai-freq-ef_ep;Ochiai-freq-ef_ep_nf_np;RusselRao-hit;RusselRao-naive-num_ef;RusselRao-naive-ef;RusselRao-naive-ef_ep;RusselRao-naive-ef_ep_nf_np;RusselRao-freq-num_ef;RusselRao-freq-ef;RusselRao-freq-ef_ep;RusselRao-freq-ef_ep_nf_np;SorensenDice-hit;SorensenDice-naive-num_ef;SorensenDice-naive-ef;SorensenDice-naive-ef_ep;SorensenDice-naive-ef_ep_nf_np;SorensenDice-freq-num_ef;SorensenDice-freq-ef;SorensenDice-freq-ef_ep;SorensenDice-freq-ef_ep_nf_np;Tarantula-hit;Tarantula-naive-ef;Tarantula-naive-ef_ep;Tarantula-naive-ef_ep_nf_np;Tarantula-freq-ef;Tarantula-freq-ef_ep;Tarantula-freq-ef_ep_nf_np
Cli;1;14,5;11;11,5;8;8;15;15;9;9;14,5;13;13;8;8;11;11;9;9;14,5;7;7;7;9;9;9;14,5;11;11,5;8;8;15;15;9;9;14,5;7;7;7;9;9;9;14,5;13;11,5;8;8;11;15;9;9;30,5;9;9;2;2;9,5;9,5;2;2;14,5;11;11,5;8;8;15;15;9;9;14,5;14,5;11;12;14,5;24;25
Cli;2;7;9;9;7;7;6;5,5;7;7;7;15;15;9;9;9;9;6;6;7;20;20;20;10;10;10;7;9;9;7;7;6;5,5;7;7;7;20;20;20;10;10;10;7;15;9;7;7;8;5;7;7;27;33,5;33,5;15;11;11;11;2;1;7;9;9;7;7;6;5,5;7;7;7;7;7;7;7;7;7
Cli;3;7,5;17;7,5;7,5;7,5;12,5;7,5;7,5;7,5;7,5;41;41;23;23;24,5;24,5;17,5;17,5;7,5;60;60;60;39,5;39,5;39,5;7,5;17;7,5;7,5;7,5;12,5;7,5;7,5;7,5;7,5;60;60;60;39,5;39,5;39,5;7,5;40,5;7,5;7,5;7,5;24,5;7,5;7,5;7,5;38,5;67,5;67,5;61;69;56,5;56,5;39;34,5;7,5;18;7,5;7,5;7,5;14;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Cli;4;20,5;29,5;29,5;12,5;12,5;23,5;23,5;20;20;20,5;29,5;29,5;21,5;21,5;23,5;23,5;23;23;18,5;27,5;29,5;29,5;21,5;21;21;20,5;29,5;29,5;12,5;12,5;23,5;23,5;20;20;18,5;27,5;28,5;28,5;21,5;21;21;20,5;29,5;29,5;12,5;12,5;23,5;23,5;20;20;17,5;27,5;27,5;12;7,5;19,5;19,5;13;10;20,5;29,5;29,5;12,5;12,5;23,5;23,5;20;20;20,5;20,5;11,5;20,5;20,5;19;19
Cli;5;1;1;1;17;17;4;4;22;22;1;1;1;9;9;4;4;15;15;1;1;1;1;4;4;4;1;1;1;17;17;4;4;22;22;1;1;1;1;4;4;4;1;1;1;14;16;4;4;14;22;1;1;1;17;17;4;4;21;22;1;1;1;17;17;4;4;22;22;1;1;1;15;1;1;15
Cli;7;5;5,5;5;5;5;4,5;5;5;5;6;8,5;8,5;6,5;5;4,5;4,5;4,5;4,5;8;33,5;33,5;33,5;7,5;7,5;7,5;5;5,5;5,5;5,5;5;4,5;4,5;4,5;4,5;8;33,5;33,5;33,5;7,5;7,5;7,5;5;7,5;5,5;5,5;5;4,5;4,5;4,5;4,5;35,5;48,5;48,5;32,5;16;8,5;8,5;4,5;4,5;5;6,5;5,5;5,5;5;4,5;4,5;4,5;4,5;5;5;5;5;5;5;5
Cli;8;3,5;4,5;4,5;3,5;3,5;2;2;3;3;3,5;4,5;4,5;3;3;1;1;2;2;3,5;4,5;3;3;1;1;1;3,5;4,5;4,5;3,5;3,5;2;2;3;3;3,5;4,5;3;3;1;1;1;3,5;4,5;4,5;3,5;3,5;1;2;3;3;3,5;4;4;3;3;1;1;1;1;3,5;4,5;4,5;3,5;3,5;1,5;2;3;3;3,5;3,5;3;3;3,5;6;6
Cli;9;20;34,5;34,5;11,5;11,5;15;15;7;7;18;34,5;34,5;28,5;28,5;12;12;9;9;17;34,5;34,5;34,5;9;9;9;20;34,5;34,5;11,5;11,5;15;15;7;7;17;34,5;35,5;35,5;9;9;9;18;34,5;34,5;10,5;11,5;12;12;4;7;18;35;32;19,5;6,5;10,5;10;1;1;20;34,5;34,5;11,5;11,5;15;15;7;7;20;21;9,5;19,5;23;20;21
Cli;10;34,5;37,5;37,5;12,5;12,5;47,5;47,5;36,5;36,5;34,5;35,5;35,5;12,5;12,5;47,5;47,5;44,5;44,5;34,5;33,5;21,5;21,5;47,5;44,5;44,5;34,5;37,5;37,5;12,5;12,5;47,5;47,5;36,5;36,5;34,5;33,5;31,5;32,5;47,5;46;46;34,5;35,5;37,5;12,5;12,5;47,5;47,5;36,5;36,5;25;25,5;25,5;9,5;6,5;36,5;35,5;32;27;34,5;37,5;37,5;12,5;12,5;47,5;47,5;36,5;36,5;34,5;34,5;25,5;27,5;36,5;27;28
Cli;11;3;3;3;10;10;3;3;3;3;3;3;3;10;10;2;2;3;3;3;6;13;13;2;2;2;3;3;3;10;10;3;3;3;3;3;6;13;13;2;2;2;3;3;3;10;10;2;3;3;3;14,5;16,5;16,5;11;12;2,5;2,5;2;2;3;3;3;10;10;2,5;3;3;3;3;3;10;10;3;8;8
